Comment ID	Comment	Grammatically corrected comment	Politics	Hate Speech	Data																			
146	Ti moj prostut e Ram horit bashk me Prostitutat tjera që rrethoni Edi Ram McGonigal fundrrinat që e mbeshtetin jeni fatkeqsia e Shqiperis dhe e Kombit Shqiptar.	Ti moj prositutute e Rame rrugacit,  bashke me prostitutat tjera që rrethoni Edi Ramen dhe McGonigal! Funderrinat që e mbeshtetin, jeni fatkeqesia e Shqiperise dhe e Kombit Shqiptar.	Politics	T																				
147	Kur takohet edhe me Veliajn nuk ka vler as gje	Kur takohet edhe me Veliajn, nuk ka vlere asgje.	Politics	F																				
148	Nesho eshte spiun edhe servil zvaranik	Nesho eshte spiun edhe servil zvarranik.	Politics	T																				
149	Ky eshte Kriminel I Gazes zoti I shkatrrofte cifutet dhe kriminelet e luftes	Ky eshte kriminel i Gazes, Zoti i shkaterrofte cifutet dhe kriminelet e luftes!	Politics	T																				
150	Mbron demokracin  e spastrin etnik ne lindjen e afert	Mbron demokracine, spastrim etnik ne lindjen e afert.	Politics	F																				
151	RUSIA DHE SERBIA KËMBËKRYQ NË SHQIPËRI  - IDIOTA KLASIK TË GJITHË TRATHTOJN KOMBIN	Rusia dhe Serbia kembekryq ne Shqiperi - Idiote klasike, te gjithe tradhtojne kombin!	Politics	T																				
152	Keta analistet  mua  me sjellin nder mend kafshet ripertypese.	Keta analistet mua me sjellin ndermend kafshet ripertypese.	Politics	T																				
153	Agim Nesha nje injorant i politikes nje ish ambasador me injorant qe ka pasur shqiperia.	Agim Nesha nje injorant i politikes, ish-ambasadori me injorant qe ka pasur Shqiperia.	Politics	T																				
154	O fevzi , jo 6 sekretarë , por dhe  60 sekretarë të vijnë në shqipri , nuk bën hajër ky vend , ata nuk vij se na duan shumë , por vijnë për interesin e vet , po na e bëni amerikën më të madh se veten , po leni nam !!!!!	O Fevzi, jo 6 sekretarë por dhe  60 sekretarë të vijnë në Shqiperi ,nuk bën hajër ky vend . Ata nuk vijne se na duan shumë, por vijnë për interesin e vete. Po na e bëni Amerikën më të madh se veten , po lini nam !!!!!	Politics	F																				
155	Hjde papagaj hajde erdhi sekretari i amerikes dhe na beri rehat ai errdhi rregulloj punet e veta dhe ju la ngatresat neper studjot televizive ju u knaqet me arrat boshe amerikani, inorant ikona e turpit.😅	Hajde papagaj hajde! Erdhi sekretari i Amerikes dhe na beri rehat. Ai erdhi te rregulloje punet e veta dhe ju la ngaterresat neper studiot televizive. Ju u kenaqet me arrat boshe amerikane, injorante, ikonat e turpit!😅	Politics	T																				
156	Vdekje pushtimit 30 vjeçar amerikan ne shqiperi.   🤡	Vdekje pushtimit 30 vjeçar amerikan ne Shqiperi.   🤡	Politics	F																				
157	Shqiperia esht vendi i vetem ne bot , ku ambasadori amerika  ben punen e presidentit te vendit. Kjo esht arsyeja kryesore pse shqipria kurr nuk do jet pjes evropes.	Shqiperia eshte vendi i vetem ne bote ku ambasadori amerikan  ben punen e presidentit te vendit. Kjo eshte arsyeja kryesore pse Shqiperia kurre nuk do jete pjese e Evropes.	Politics	F																				
158	Rama ka 500 difekte por ësht i vetmi që ka tope  ësht Politiken di të flas me të huajt …………..	Rama ka 500 difekte, por ështe i vetmi që ka koqe, ështe politikan qe di të flase me të huajt.	Politics	F																				
159	Rroft rama	Rrofte Rama!	Politics	F																				
160	"Pse eshte nje Menagjer Italian ne Airoport ? 
Eshte per te ardhur keq 
Ju qe te Shqiperise qe i mbani Italianet aq lart dua t‘ju them qe sa i perket Biznesit dhe menagjmentit Italianet jan shum shum mrapa Gjermanis, Zvicrres, Norvegjis …"	Pse eshte nje menaxher italian ne aeroport? Eshte per te ardhur keq per ju te Shqiperise qe i mbani italianet aq lart. Dua t‘ju them qe sa i perket biznesit dhe menaxhimit italianet jane shume shume mbrapa  Gjermanise, Zvicres, Norvegjise …	Politics	F																				
161	Baxhellat e Ramoviqit dhe sorrosit sorrosit dhe komonizmit	Baxhellat e Ramoviqit , Sorosit dhe komunizmit.	Politics	T																				
162	"Vjen se shqiptarët si mish për top që janë, i vjen radha se ata tashmë janë urinuar brekët. 
Prandaj vjen Bliken që tju heq frikën."	"Vjen, se shqiptarët si mish për top që janë, i vjen radha se ata tashmë janë urinuar brekët. 
Prandaj vjen Bliken që t'ju heq frikën."	Politics	T																				
163	Qfar pritet te ndodh nese SHBA deshiron te mbetet si simbol i demokracis falktet Jan Shqiperia Po rreshqet prap ne diktatur pra pritet ndeshkimi i regjimit totalitar te Rames.	Cfare pritet te ndodhe nese SHBA deshiron te mbetet si simbol i demokracise? Faktet jane qe  Shqiperia po rreshqet prape ne diktature, pra pritet ndeshkimi i regjimit totalitar te Rames.	Politics	F																				
164	Qenka vertet top sekret 😂😂😂😅😅	Qenka vertet top sekret 😂😂😂😅😅	Politics	F																				
165	"Grida me ngjelen? Ndoshta 
Dashuria eshte e verber"	"Grida me Ngjelen? Ndoshta!
Dashuria eshte e verber."	Politics	F																				
166	Po more shtuni üërse se po përkëdhelet akoma Serbia si nga europa dhe nga shba.Ajo që bën kosova ësht mjaft e drejt për kosovën.Po Vuçiç ka üërdor kokforci më të madhe gjat gjith ksaj kohe dhe po përfiton e po ja fërkojn kokën apo kosova ësht e vogël dhe shtet i ri dhe kush ësht i vogēl dhe më i pa fuqishēm dhe duhet ti hypin në kurriz me të pa drejt.	Po more Shtuni perse? Se po përkëdhelet akoma Serbia si nga Europa dhe nga ShBA-ja. Ajo që bën Kosova ështe mjaft e drejte për Kosovën. Po Vuçiç ka perdorur kokefortesine më të madhe gjate gjithe kesaj kohe dhe po përfiton e po ia fërkojne kokën, apo Kosova ështe e vogël dhe shtet i ri dhe kush ështe i vogēl dhe më i pafuqishēm duhet ti hipin në kurriz me pa te drejte.	Politics	F																				
167	"O loqe do vi te pergezoj ramen per mekgonigal 
Top canel top kancer"	"O loqe, do vi te pergezoj Ramen per Mekgonigal.
Top channel - top kancer"	Politics	T																				
168	Vetëm naivet nuk e kuptojne se per cfare po vjen sekretari. Ky emision e zbuloi paksa padashje qellimin ne fillim se per cfare ka ardh. Pjesa tjeter e emisionit hedh tym dhe mjegull duke fshehur te verteten.	Vetëm naivet nuk e kuptojne se per cfare po vjen sekretari. Ky emision e zbuloi paksa padashje qellimin ne fillim se per cfare ka ardhur. Pjesa tjeter e emisionit hedh tym dhe mjegull duke fshehur te verteten.	Politics	F																				
169	Titull MASHTRUES, Vizita nuk eshte sekret - permbajtja eshte. DOWNVOTE from me.	Titull mashtrues, vizita nuk eshte sekret - permbajtja eshte. DOWNVOTE from me.	Politics	F																				
170	Po ve re qe ka shum FONDAMENT ne surrat kjo Grifsha.	Po ve re qe ka shume "FONDAMENT" ne surrat kjo grifsha.	Politics	T																				
171	Hani mut hani Blinken do takoje Kryeministrin e zgjedhur nga Shqiptaret me vot te lire , dhe bindshem  doni apo zdoni ju pelqen apo Jo, ju intereson apo Jo, dhe do votohet prap,  duan apo z'duan halet dhe kanalet, pusetat e 32 vjeteve,  dhe do hiqet po nga Shqiptaret me vot ,Jo nga kanalet por dhe  as nga halet. pusetat 32 vjecare ,qe e qelben dhe po vazhdojne te qrlbin  ate vend.  Ai vend do behet as nga halet as kanalet as pusetat  por nga 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 lepiuni sa te doni ju qe jeni mesuar te lepini  duke genjyer veten se mbase e hane Shqiptaret ,Rrofte 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸❤️❤️❤️❤️❤️💪💪💪💪	Hani mut hani!  Blinken do takoje Kryeministrin e zgjedhur nga shqipetaret me vote te lire dhe bindshem doni apo s'doni, ju pelqen apo jo, ju intereson apo jo, dhe do votohet prape,  duan apo s'duan halet dhe kanalet, pusetat e 32 vjeteve,  dhe do hiqet po nga shqiptaret me vote , jo nga kanalet,  por dhe  as nga halet e pusetat 32 vjecare ,qe e qelben dhe po vazhdojne te qelbin ate vend.  Ai vend nuk do te behet as nga halet, as kanalet, as pusetat , por nga Amerika. Lepijuni sa te doni ju qe jeni mesuar te lepini  duke genjyer veten se mbase e hane shqiptaret. Rrofte Amerika❤️❤️❤️❤️❤️💪💪💪💪	Politics	T																				
172	Taku asht gjigand 😂	Taku eshte gjigand! 😂	Politics	F																				
173	O Zot, e keni kethyer boten mediatike ne nje fshat! Nje hajvan te padituer e te palexuar si Ngjela(Po po ...te palexuar...i ka mbyll librat dekada me pare. Kjo duket nga informacionet dhe llogjika qe  jep eshte e viteve 60-70 te shekullit te kaluar.) , cdo dite te Perendise qe te shfaqi me duf brengat e nje jete te deshtuar , kariere profesionale te deshtuar e te nje kariere politike te deshtuar. Turp! Ka njerez te ditur ,shume te ditur vendi im...brenda e jashte atdheut...Jane ata qe edhe kur i ftoni ua jepni fjalen pak sekonda dhe mbyten nga cjerrjet prej gjeli te Ngjeles e ngjelave te tjere , pjeserisht nga komplekse inferioriteti,pjeserisht nga frika se mos u zene kete tavoline qe duket se ka 20 vjete qe e keni shtruar. E vetmja premise qe e mbyt cudine time , eshte prezenca e kesaj moderatoreje arrogante dhe pedante...si per te thene: Falja dhe Ngjeles.	O Zot, e keni kthyer boten mediatike ne nje fshat! Nje hajvan te paditur e te palexuar si Ngjela(Po po ...te palexuar...i ka mbyllur librat dekada me pare. Kjo duket nga informacionet dhe logjika qe  jep , e cila eshte e viteve 60-70 te shekullit te kaluar.) , cdo dite te Perendise qe te shfaqe me duf brengat e nje jete te deshtuar , karriere profesionale te deshtuar, e te nje karriere politike te deshtuar. Turp! Ka njerez te ditur ,shume te ditur vendi im...brenda e jashte atdheut...Jane ata qe edhe kur i ftoni ua jepni fjalen pak sekonda dhe mbyten nga cjerrjet prej gjeli te Ngjeles e Ngjelave te tjere , pjeserisht nga komplekse inferioriteti,pjeserisht nga frika se mos u zene kete tavoline qe duket se ka 20 vjete qe e keni shtruar. E vetmja premise qe e mbyt cudine time  eshte prezenca e kesaj moderatoreje arrogante dhe pedante...si per te thene: Falja dhe Ngjeles.	Politics	T																				
174	Ahahahah ju jeni qesharak. Ju njeni llomi i shoqerise .. vete shtepia e bardhe permende gjitha vizitat e Blinke ne Lindjen e Mesme dhe ky udhetim ka te beje me luften Israel- Palestine. Tani kur vete ata e bejne njoftimin. Ose Blinke ka ardh si ai i FBI ME hager mish ne kukes. Ose ata mendojne se Shqiperia eshte ne lindjen e mesme	Ahahahah ju jeni qesharake. Ju jeni llumi i shoqerise.  Vete Shtepia e Bardhe permende gjitha vizitat e Blinken ne Lindjen e Mesme dhe ky udhetim ka te beje me luften Israel- Palestine. Tani kur vete ata e bejne njoftimin, ose Blinken ka ardhur  si ai i FBI-se te haje  mish ne Kukes, ose ata mendojne se Shqiperia eshte ne Lindjen e Mesme.	Politics	T																				
175	Uh nanen juve shkavella	Uh nanen juve shkavella.	Politics	T																				
176	Waaahhh sa eshte lyer grida 😳	Waaahhh sa eshte lyer Grida !😳	Politics	F																				
177	O avokat per cfar fitimi po flet	O avokat per cfare fitimi po flet?	Politics	F																				
178	O avokat un kam 33 vjet qe paguaj kontributet, pensioni esht borxh do marr parat e mija dhe un e vendos ku te dua vet ne banke ne itali o ne cdo vend te botes, e dyta neve italis nuk I kemi asnje borxh me punen ton kemi jetuar ,nese ndokujt i kemi borxh ata jane populli italian qe na mikpriti jo shteti	O avokat, une kam 33 vjet qe paguaj kontributet, pensioni eshte borxh. Do marr parate e mia, dhe une e vendos ku te dua, ne banken  ne Itali ose ne cdo vend te botes. E dyta, neve te Italise nuk i kemi asnje borxh, me punen tone kemi jetuar. Nese ndokujt i kemi borxh ata jane populli italian qe na mirepriti, jo shteti.	Politics	F																				
179	Sesht fajtor Bastardi Kurti por ata bythqire Anadollak qe e votoin Kurt Serbin..shpresoj shum qe Serbia te hy nje dit ne Kosove dhe do ta shihni kush dot ik I pari,Bastard Kurti natyrisht	S'eshte fajtor bastard Kurti, por ata bythqire anadollake qe e votonin Kurt Serbin. Shpresoj shume qe Serbia te hyje nje dite ne Kosove dhe do ta shihni kush do te ike i pari. Bastard Kurti, natyrisht!	Politics	T																				
180	Ore a vjen Zoti ne Shqiperi???nje Sekretar Shteti qe spo ja del ne asnje gje qe nis..do ta acaroj vetem Berishen askend tjeter	Ore, a vjen Zoti ne Shqiperi? Nje sekretar shteti qe s'po ia del ne asnje gje qe nis, do te acaroje vetem Berishen, askend tjeter.	Politics	F																				
181	Shehu eshte grandioz, komplimenti nga Italia,  avokat pse nuk I merr ne shtepin tende, ne shqiptaret po emigrojm ne gjith boten e aty po vijn afrikan 😮😮	Shehu eshte grandioz, komplimente nga Italia! Avokat, pse nuk i merr ne shtepine tende? Ne shqiptaret po emigrojme ne gjithe boten e aty po vijne afrikanet. 😮😮	Politics	F																				
182	Zt. Ngjela eshte i kompletuar dhe lufton per te drejtat popullore , uroje shqiptaret ta votojne sepse ai vend ka nevoje per njerrez te zgjuar  si Zt. Ngjela dhe jo per njerrez te vobekte	Z. Ngjela eshte i kompletuar dhe lufton per te drejtat popullore , uroj shqiptaret ta votojne sepse ai vend ka nevoje per njerez te zgjuar  si Z. Ngjela dhe jo per njerez te vobekte.	Politics	T																				
183	"Sa te shpifur jeni te dy, nje folje  aq fallco dhe gervishse
Flisni o drejt dhe mos u tundni shum se i humbni seriozitetin lajmit, lerini vibrimet"	"Sa te shpifur jeni te dy ne te folur,  aq fallco dhe gervishtese.
Flisni drejte dhe mos u tundni shume se i humbni seriozitetin lajmit, lerini vibrimet."	Politics	T																				
184	Ngjela i paska leshu pellumbat me kohe	Ngjela i paska leshuar pellumbat me kohe.	Politics	T																				
185	Asnje nga ju nuk po thote ti mbani ne Shqiperi, ne momentin qe ju kane ikur te gjithe. Ju jepni pune te mira atyre, I futni te punojne me bashkira, banka, ashtu sic na futen ne pune ne keta ketej. Jeni shume te prapambetur, pa vision. Po niseni nga djalli qe ka njeriu brenda vetes qe nje race eshte superiore ndaj nje tjter, e keni shume gabim o drite shkurtet.	Asnje nga ju nuk po thote ti mbani ne Shqiperi, ne momentin qe ju kane ikur te gjithe. Ju jepni pune te mira atyre, i futni te punojne me bashkite, bankat, ashtu sic na futen ne pune ne keta kendej. Jeni shume te prapambetur, pa vision. Po niseni nga djalli qe ka njeriu brenda vetes, qe nje race eshte superiore ndaj nje tjetri, e keni shume gabim o driteshkurter.	Politics	F																				
186	HIPOKRIZIA E "ELITËS SHQIPTARE" (brekëgrisurve që u bën milionerë në Shqipërinë e varfër). Po vjen Blinken dhe Grida është eksituar shumë nga lajmi i madh që jep Met Veliu😂😂......🤮🤮🤮	Hipokrizia E "ELITËS SHQIPTARE" (brekëgrisurve që u bëne milionerë në Shqipërinë e varfër). Po vjen Blinken dhe Grida është eksituar shumë nga lajmi i madh që jep Met Veliu😂😂......🤮🤮🤮	Politics	T																				
187	Avokat mos bei lodra me Lulushin se ka 220 milion euro ne kurriz ska dhen llogari akoma	Avokat mos bej lodra me Lulushin se ka 220 milion euro ne kurriz, s'ka dhene llogari akoma.	Politics	F																				
188	"Puuuu car ta shpif ti o Grida me kete te folur.
Fol o gru mir thjesht dhe qart"	"Puuuu sa ta shpif ti o Grida me kete te folur.
Fol o grua mire, thjeshte dhe qarte."	Politics	T																				
189	Jankeshtu Grida ftoni njerez me llogjik si Dashi apo avokati dhe ka diskutime dhe llogjik ne studio dhe jo sharlatane apo injorante si Mul Noqja me ahoke	Ja keshtu Grida, ftoni njerez me logjike si Dashi apo avokati dhe ka diskutime dhe logjike ne studio dhe jo sharlatane apo injorante si Mul Noqja me shoke.	Politics	T																				
190	fute doren ne xhep dume se moj te humbasin parate.Po ajo e shkrete goje qe po te shkon nga veriu ne jug.	Fute doren ne xhep Duma se mos te humbasin parate.Po ajo e shkrete goje, qe po te shkon nga veriu ne jug.	Politics	F																				
191	Përgëzime për emisionin. Më në fund një panel I kualifikuar, drejtim profesional, dhe si rrjedhim emision informues dhe edukativ👌	Përgëzime për emisionin. Më në fund një panel i kualifikuar, drejtim profesional, dhe si rrjedhim emision informues dhe edukativ👌	Politics	F																				
192	Mirmore nard noka asht katolik e ka marr rrolin e priftit e asht tu i sperkat me uj te bekuam	Mire more, Nard Ndoka eshte katolik, e ka marre rolin e priftit, eshte duke i sperkatur me uje te bekuar.	Politics	F																				
193	Blinken ne Tirane po a do ti bej nje vizite saliut te rruga e shpreses? I ziu sali qe nuk po gjen derman.	Blinken ne Tirane, po a do ti beje nje vizite Saliut te rruga e shpreses? I ziu Sali qe nuk po gjen derman.	Politics	F																				
194	Këta janë politikanët tan, indoqi djemtë tanë rugëve të botës, të pa mbrojtur , i shikoni në këtë vidio sa të vegjël sa të brisht janë të vjen për të qar.që qafshin kokën politikanët tanë . Kjo politik e mbrapshtë që bëri saliu krimineli i pa par në gjithë botën. Sot jeni 34 vjet , e njëjta gjëndje. Vetëm çiren e çiren pa funë.Turp e faqe zezë.	Këta janë politikanët tane, i ndoqi djemtë tanë rrugëve të botës, të pambrojtur , i shikoni në këtë video sa të vegjël sa të brishte qe janë.  Të vjen për të qare,  që cafshin kokën politikanët tanë! Kjo politike e mbrapshtë që bëri Saliu, krimineli i papare në gjithë botën. Sot jeni 34 vjet , e njëjta gjëndje. Vetëm çirren pa fund.Turp e faqe zezë!	Politics	F																				
195	Pse nuk i futen ne Sazan refugjatet, aty te behej kampi. ?	Pse nuk i futen ne Sazan refugjatet? Aty te behej kampi.	Politics	F																				
196	Z. Grida respek për ju, ka kohë që qeveria jon po lufton për pensonet e shqipëtarëve në Itali . Po për shqipëtarët që jetojnë në Greqi ka vajtur disa herë dhe nuk ka diskutuar një herë të vetëme??? Do bëhet gjë?	Z. Grida respek për ju, ka kohë që qeveria jone po lufton për pensionet e shqiptarëve në Itali . Po për shqiptarët që jetojnë në Greqi ka vajtur disa herë dhe nuk eshte diskutuar një herë të vetme! Do bëhet gjë?	Politics	F																				
197	Blinken eshte antishsqiotar luftenxites sorosjan	Blinken eshte anti-shqiptar, luftenxites Sorosjan.	Politics	F																				
198	Kurti eshte komplet Fyell!Amerikanet po e izolojne Kurtin,sepse po ndez Luftra ne Ballkan!	Kurti eshte komplet fyell! Amerikanet po e izolojne Kurtin sepse po ndez luftra ne Ballkan!	Politics	T																				
199	Blinken qe furnizon izraelin me bomba qe te vrasin femije palestinez. Free Palestine 🇵🇸	Blinken qe furnizon Izraelin me bomba qe te vrasin femijet palestinez. Free Palestine 🇵🇸	Politics	F																				
200	Zv ministrja e nxori realitetin....Shqiperia fiton nje investim prej 100 milione eurosh ne nje baze ushtarake e cila do ti sherbeje forcimit te sigurise se vendit dhe nje baze te mundeshme amerikane .	Zv ministrja e nxorri realitetin, Shqiperia fiton nje investim prej 100 milione eurosh ne nje baze ushtarake e cila do ti sherbeje forcimit te sigurise se vendit dhe nje baze te mundeshme amerikane .	Politics	F																				
201	Ore mos e nxirrni lajmin se del noka dhe i bije me veze 😂😂	Ore mos e nxirrni lajmin se del Noka dhe i bie me veze. 😂😂	Politics	F																				
202	Avokat nganjiher lomsh i ban gjërat, thua se kurti mori vendim ekstrem, kurse vuqiq futë dinarë me kamjona per te paguar antishqiptarë e per ta destabilizue kosoven, vendimi i kurtit asht patriotik kombtarë shqiptarë deshum apo jo ky vendim zbatohet.!	Avokat, nganjehere i beni gjërat lemsh. A thua se Kurti mori vendim ekstrem, kurse Vucic fut dinarë me kamiona per te paguar anti-shqiptarët e per ta destabilizue Kosoven? Vendimi i Kurtit eshte patriotik, kombetar. Shqiptaret deshen apo jo, ky vendim zbatohet!	Politics	F																				
203	Futja pordhe	Futja pordhes.	Politics	T																				
204	Po të vie Trump në pushtet psh, Sala do të bëhet Hero. Nuk është Sala kundër Amerikës, përkundër , ai futi Shqipërinë në NATO. Kuptohet, më mirë do i shkonte timoni të rinjëve, por Kush u ka faj atyre, nuk e di.	Po të vije Trump në pushtet psh, Sala do të bëhet hero. Nuk është Sala kundër Amerikës, përkundrazi , ai futi Shqipërinë në NATO. Kuptohet, më mirë do i shkonte timoni të rinjëve, por kush u ka faj atyre, nuk e di.	Politics	F																				
205	Kur flet ngjela te ze diarejA	Kur flet Ngjela te ze diarreja.	Politics	T																				
206	Parlament hajdutash dhe  alabak	Parlament hajdutash dhe  halabake.	Politics	T																				
207	Gazetari Mehmet Veliu shum i mir ,por flet me shum fjal të huaja, italisht,  anglisht, intesive,kontaminohet?primare?,deskalimin?flisni shqip o shqiptarrrrr, turp.	Gazetari Mehmet Veliu shume i mire ,por flet me shume fjale të huaja, italisht,  anglisht:  intesive,kontaminohen, primare,deskalimin. Flisni shqip o shqiptare, turp.	Politics	F																				
208	Ne se shoku ne se i ben vizit Z Berishes Ai nga lart do ta ben V C se pse te Lartet jane Lart e me Lart e ai qe vjen aq i zgjuar  sa e mposht megoni dhe e urdheron  ti shpif e un mare para e privilegje mere me mend kush esht mysafiri juajky qe e shperdor nje hajdut harbut e spiun ky shok do tu vij ju qe me zi po e prisni aman ore te na rroni se mos ju ndodh gje nuk jettojm dot pa te  aman aman mos	Nese shoku i ben vizite Z Berishes,ai nga lart do ta beje  WC sepse te lartet jane lart e me lart. Ai qe vjen aq i zgjuar  sa e mposht Megonin dhe e urdheron  te shpife dhe merr para e privilegje. Merre me  me mend kush eshte mysafiri juaj, ky qe e shperdor, nje hajdut, harbut e spiun! Ky shok do t'u vije juve qe me zor po e prisni. Aman ore te na rroni, se mos ju ndodhe gje, nuk jetojme dot pa te,  aman aman mos!	Politics	T																				
209	"Albin Kurti po punon per TAN Repupliken e KOSOVËS ALBiN KURTi Po punon per Tana kombit qe jetojne ne KOSOVE. Sherbet e KOSOVES DUHET me e diten se Jetojnë ne Repupliken E KOSOVËS. Dinari nga Repuplika e KOSOVES ishte Dashtë me e heke Dinarin shum ma herët qe kur ka qen Hashim Thaqi kryeminister.Por Hasim Thaqi kastile EKA Lejue dinarin ne Veri. Sepse per 20 vjet ashte ba qfar ka Dashtë Serbija ne Veri. Keshtu se Hashim Thaqit Nuk ka punue per Shtetin e KOSOVËS por HASHIM THAQI ka punue vetem me vjedh Ne Repupliken E KOSOVËS. E me shit tokat e REPUPLIKES TË KOSOVES Shit ne Malltezi. Shit ne Maqedoni. Por edhe veriun e Kosoves e kishte pas mendjen Meja dhan Serbis Hashimi.
Por Shqyr qe doli nje POLETIKAN Albin Kurti ne KOSOV 🇽🇰 Lum populli i REPUPLIKES se KOSOVËS qe eka Albin Kurtin kryeminister.
Rrofte Repuplika e KOSOVES. Me Albin Kurtin e Me POLETIKANET qe mendojnë per MEBA shtet ne tani Repupliken E KOSOVËS 🇽🇰🇦🇱
Kosova eshte Zemra ♥️ Shqiperis🦅🇦🇱♥🇽🇰♥🇦🇱🦅
                 🦅🇦🇱🇦🇱♥️🇦🇱🇦🇱🦅
                 🦅🇦🇱♥️🇽🇰♥️🇦🇱🦅
                 🦅🇦🇱🇦🇱♥️🇦🇱🇦🇱🦅
                 🦅🇦🇱🇦🇱🇦🇱🇦🇱🇦🇱🦅
                 🦅🇦🇱🇦🇱🇦🇱🇦🇱🇦🇱🦅
                  🦅🦅🦅🦅🦅🦅🦅"	Albin Kurti po punon per te gjithe Republiken e Kosoves.  Albin Kurti po punon per te gjitha kombet qe jetojne ne Kosove. Serbet e Kosoves duhet ta dine qe jetojne ne Republiken e Kosoves. Dinari nga Republika e Kosoves duhet te ishte hequr shume me herët, qekur ka qene Hashim Thaqi kryeminister. Por Hasim Thaqi me qellim e ka lejuar dinarin ne veri. Sepse per 20 vjet eshte bere cfare ka dashur Serbia ne Veri. Keshtu qe  Hashim Thaqi nuk ka punuar  per shtetin e Kosoves ,  por Hashim Thaqi ka punuar  vetem per te vjedhur ne Republiken e Kosoves dhe per te shitur tokat  e Republikes se Kosoves ne  Maqedoni dhe Mal te Zi. Edhe veriun e Kosoves e kishte pasur ne mendje t'ia jap Hashimi Serbise, por shyqyr qe doli nje politikan si Albin Kurti ne Kosove. Lum populli i Republikes se Kosoves qe e ka Albin Kurtin kryeminister. Rrofte Republika e Kosoves. Me Albin Kurtin dhe me politikanet qe mendojnë per ta bere shtet tani Republiken e Kosoves. Kosova eshte Zemra e Shqiperise	Politics	F																				
210	Po pse e ftoni kët Ngjelën, njeri i krisur, diktator	Po pse e ftoni këte Ngjelën, njeri i krisur, diktator.	Politics	T																				
211	41:17 dhe kur ka ende qe thone qe ishte mire ne kohen e Enverit ... Shih ca njerezish pa dhembe e lekure sikur ishin nxjerre nga kafazi i kopshtit zoologjik :/	41:17 dhe kur ka ende qe thone qe ishte mire ne kohen e Enverit. Shih cfare njerezish pa dhembe e lekure, sikur ishin nxjerre nga kafazi i kopshtit zoologjik.	Politics	T																				
212	O Curri , gjynah edhe  çun i brezit te ri ti , flet me nje ironi si me qen kelysh i ndonje Partie , eshte historike sepse Shqiptaret marrin djersen dhe mundin e gjithe jetes se tyre  edhe kjo ndodhu tani e jo me pare	O Curri , gjynah edhe  çun i brezit te ri ti , flet me nje ironi si me qene kelysh i ndonje Partie. Eshte historike sepse shqiptaret marrin djersen dhe mundin e gjithe jetes se tyre  edhe kjo ndodh tani e jo me pare.	Politics	T																				
213	Aqë shumë ju jeni të ditur dhe keni fjalor të zhvilluar, sa që qytetari me arsim të lartë nuk mundet me ju kuptu. Pēr të ju kuptu juve duhet me qenë ma i aftë se ju, fatkeqsisht ata njerzë janë shum të rrallë?!  I tëri ky diskurs nuk e dha një pasqyr të kjartë që të jemi të orjentuar në aspektin politik!?	Ju jeni aq shume  të ditur dhe keni fjalor të zhvilluar, saqë qytetari me arsim të lartë nuk mundet t'ju kuptoje. Pēr t'Ju kuptuar juve duhet te jete me i aftë se ju, fatkeqesisht ata njerez janë shum të rrallë?!  I tëri ky diskutim dhe nuk e dha një pasqyre të qarte që të jemi të orientuar në aspektin politik?!	Politics	F																				
214	O  ZOTI  SHEHU   SHKO  PI   NAJ   GOT  RAKI     SE  TI   JE   MA   TEPER  ME  RAMSIN   SE   SA  ME   BERISHEN   POR  TI  NUK   I   AFROHESH    BERISHES    O      BERISHA  NUK  KA   NEVOJ  PER  JU   POR  TA  DISH  PER  BERISHEN   NE   NUK  E  TRADHTOJM   POR  TI  NUK   KE   PESH   PO  TE   SHKRUAJ      TA  DISH   MERR   KOCKEN  SE  TI  NUK  PERFAQSON   DEMOKRATET	O zoti Shehu shko pi ndonje gote raki se ti je me teper me Ramsin se sa me Berishen, por ti nuk i afrohesh Berishes. Berisha nuk ka nevoje per ju, por ta dish Berishen nuk e tradhtojme. TI nuk ke peshe , po shkruaj ta dish! Merr kocken se ti nuk perfaqeson demokratet.	Politics	T																				
215	O   GJELA  O  KOMUNIST    SHKO  TEK  PS	O   Gjela , o komunist shko tek S-ja. 	Politics	F																				
216	Blinken  eziton te vij te shohe  cto ndodh  me 16  shkurt  se I mbetet  shara ne gozhde  ta puth ramen  apo  te zhduket me gjith ram alene	Blinken heziton te vije te shoh cdo te ndodhe me 16 shkurt sepse i mbetet e shara ne gozhde. Ta puth Ramen apo te zhduket me gjithe Ramen.	Politics	F																				
217	Zhaba e saliut , po kur ishit ju ne pushtet kishte shtet, dhe sot mbasi late tok te djegur katastrof kerkoni ameriken ,zhgaravin	Zhaba e Saliut , po kur ishit ju ne pushtet kishte shtet dhe sot pasi late toke  te djegur katastrofike kerkoni ameriken. Zhgaravine !	Politics	T																				
218	O avaokat.. ti ke vajtur për lesh nga mendja./ Mjer ata që punojnë me ketë leshin./I more mesimet c'fare do thuash ketu ne ketë studio.?/	O avokat, ti ke vajtur për lesh nga mendja. Mjere ata që punojnë me ketë leshin. I more mesimet cfare do thuash ketu ne ketë studio?	Politics	T																				
219	Aman... Fute nje here dorën në xhep 😅😅😅	Aman... Fute nje here dorën në xhep 😅😅😅	Politics	F																				
220	Respekt per AMERIKEN	Respekt per Ameriken.	Politics	F																				
